"","Longitude","Latitude","./alt23_pha.bil","./bio1_pha.bil","./bio10_pha.bil","./bio11_pha.bil","./bio12_pha.bil","./bio13_pha.bil","./bio14_pha.bil","./bio15_pha.bil","./bio16_pha.bil","./bio17_pha.bil","./bio18_pha.bil","./bio19_pha.bil","./bio2_pha.bil","./bio3_pha.bil","./bio3_xeno.bil","./bio4_pha.bil","./bio4_xeno.bil","./bio5_pha.bil","./bio6_pha.bil","./bio7_pha.bil","./bio8_pha.bil","./bio9_pha.bil"
"Longitude",1,-0.882535681030253,0.0198615573018057,-0.0413480119958297,-0.149041001385195,0.268083761494964,0.574124070783772,0.479508497832195,0.494340772522421,-0.374665130628153,0.458777486008551,0.54334055419531,0.405610646619165,0.571420579370478,-0.488610008952159,0.756234144265832,0.756234144265832,-0.876217963667243,-0.876217963667243,-0.349558888906649,0.345149666007328,-0.726471881860091,-0.103782422964485,0.033233012957254
"Latitude",-0.882535681030253,1,-0.0773946459131129,0.158048416941553,0.267590977953582,-0.186127292541004,-0.627955895628597,-0.544766210028575,-0.505946432886138,0.339350977928993,-0.523688472137467,-0.547624249242597,-0.295100076644671,-0.610803605915777,0.38519982539375,-0.880235945363771,-0.880235945363771,0.9404290464809,0.9404290464809,0.42664721010832,-0.249488008813572,0.692263983029558,0.223911462133666,0.0455086171555534
"./alt23_pha.bil",0.0198615573018057,-0.0773946459131129,1,-0.975373932136515,-0.937744208091111,-0.959301396974028,-0.292831920278367,-0.242972954772976,-0.406976117896556,0.428446775101261,-0.2238714573887,-0.399059436060092,-0.398536590103433,-0.371035822223073,0.425403040749604,0.211225176702753,0.211225176702753,-0.0626527535298513,-0.0626527535298513,-0.773074334676654,-0.917485107580039,0.2605423998059,-0.878254499300939,-0.964411755154009
"./bio1_pha.bil",-0.0413480119958297,0.158048416941553,-0.975373932136515,1,0.98818048969798,0.936873943316202,0.172923429543631,0.067503481405824,0.356451197497653,-0.419367277560843,0.051624600050779,0.347677362346151,0.29616575502995,0.304863454298167,-0.348776967319169,-0.285570967777337,-0.285570967777337,0.16801115666663,0.16801115666663,0.865971202811703,0.881166899867064,-0.165331122243516,0.923678009643928,0.971454843791718
"./bio10_pha.bil",-0.149041001385195,0.267590977953582,-0.937744208091111,0.98818048969798,1,0.881517998499024,0.0805329184271707,-0.036969041672086,0.304506918583589,-0.387735118464443,-0.0512567939839424,0.291560321176324,0.238471591139392,0.223452984432787,-0.246568738900382,-0.386160595130117,-0.386160595130117,0.300569567809581,0.300569567809581,0.917781195753751,0.811440136201109,-0.0366390922188621,0.928836040718463,0.947061172887553
"./bio11_pha.bil",0.268083761494964,-0.186127292541004,-0.959301396974028,0.936873943316202,0.881517998499024,1,0.404750743356531,0.28709151817528,0.516728411919906,-0.512769218158724,0.266104152415862,0.521423586367389,0.403148195314604,0.517756376732499,-0.496696574427269,0.0236531942022879,0.0236531942022879,-0.183023636408537,-0.183023636408537,0.702053108702537,0.967403744911156,-0.420415328689436,0.837147566358105,0.950530084258432
"./bio12_pha.bil",0.574124070783772,-0.627955895628597,-0.292831920278367,0.172923429543631,0.0805329184271707,0.404750743356531,1,0.909098317441385,0.855577748486407,-0.621674994038426,0.913505035178011,0.851543907293175,0.746167817431769,0.926756216376387,-0.635224423621621,0.528499752833312,0.528499752833312,-0.639646016151754,-0.639646016151754,-0.175229647850307,0.507232653306367,-0.742432335694184,0.120879529383338,0.287275411439271
"./bio13_pha.bil",0.479508497832195,-0.544766210028575,-0.242972954772976,0.067503481405824,-0.036969041672086,0.28709151817528,0.909098317441385,1,0.605325320417749,-0.292579231730364,0.991882940731815,0.602620906461082,0.648917695921071,0.765065395970866,-0.61493705415111,0.448659180618341,0.448659180618341,-0.642072893811009,-0.642072893811009,-0.27294414301847,0.380706970820977,-0.693108987644966,0.0280458482801808,0.148576553537988
"./bio14_pha.bil",0.494340772522421,-0.505946432886138,-0.406976117896556,0.356451197497653,0.304506918583589,0.516728411919906,0.855577748486407,0.605325320417749,1,-0.864509174585408,0.603811462974443,0.991755987541964,0.740282855885296,0.907601207234275,-0.526483241096851,0.458887792594476,0.458887792594476,-0.407114523928101,-0.407114523928101,0.0628201905411138,0.60053261219116,-0.619325941331543,0.259921026899457,0.469610798953057
"./bio15_pha.bil",-0.374665130628153,0.339350977928993,0.428446775101261,-0.419367277560843,-0.387735118464443,-0.512769218158724,-0.621674994038426,-0.292579231730364,-0.864509174585408,1,-0.300854544548324,-0.874612988899005,-0.596518117196849,-0.738498678790186,0.503117213558103,-0.308381613290926,-0.308381613290926,0.21512236504142,0.21512236504142,-0.151636455238636,-0.601990429446198,0.535647011719937,-0.318249332340913,-0.510759455894148
"./bio16_pha.bil",0.458777486008551,-0.523688472137467,-0.2238714573887,0.051624600050779,-0.0512567939839424,0.266104152415862,0.913505035178011,0.991882940731815,0.603811462974443,-0.300854544548324,1,0.594217729127015,0.643046360998698,0.762068143466438,-0.605506702510429,0.432395283342457,0.432395283342457,-0.628588901753319,-0.628588901753319,-0.282153878165461,0.361555888451537,-0.680282011966916,0.0112754398260194,0.143395721590507
"./bio17_pha.bil",0.54334055419531,-0.547624249242597,-0.399059436060092,0.347677362346151,0.291560321176324,0.521423586367389,0.851543907293175,0.602620906461082,0.991755987541964,-0.874612988899005,0.594217729127015,1,0.728370571101461,0.916800742650911,-0.54401047815613,0.491436213277678,0.491436213277678,-0.443277769688363,-0.443277769688363,0.0419057179982656,0.607697987851336,-0.647528936100665,0.239799465457532,0.456324157463323
"./bio18_pha.bil",0.405610646619165,-0.295100076644671,-0.398536590103433,0.29616575502995,0.238471591139392,0.403148195314604,0.746167817431769,0.648917695921071,0.740282855885296,-0.596518117196849,0.643046360998698,0.728370571101461,1,0.623275299620628,-0.666656572019943,0.14990936651038,0.14990936651038,-0.313619243707646,-0.313619243707646,-0.0267392652281022,0.51028974945344,-0.603232457442406,0.33987906240796,0.304150694928412
"./bio19_pha.bil",0.571420579370478,-0.610803605915777,-0.371035822223073,0.304863454298167,0.223452984432787,0.517756376732499,0.926756216376387,0.765065395970866,0.907601207234275,-0.738498678790186,0.762068143466438,0.916800742650911,0.623275299620628,1,-0.575257903133462,0.564174175385882,0.564174175385882,-0.568052434212572,-0.568052434212572,-0.0273612690165241,0.602652595674863,-0.70836579627014,0.166115215379028,0.434038938140331
