Species,Longitude,Latitude
Amatitlania_spp,-89.733,14.433
Amatitlania_spp,-86.10938,14.43534
Amatitlania_spp,-86.05311,14.4398
Amatitlania_spp,-86.16668,14.49652
Amatitlania_spp,-90.542,14.525
Amatitlania_spp,-86.22005,14.55003
Amatitlania_spp,-89.308,14.558
Amatitlania_spp,-89.3,14.5667
Amatitlania_spp,-86.15,14.63333
Amatitlania_spp,-85.3209,14.64152
Amatitlania_spp,-86.13333,14.71667
Amatitlania_spp,-86,14.71667
Amatitlania_spp,-85.8,14.71667
Amatitlania_spp,-85.23652,14.73172
Amatitlania_spp,-86.2531,14.7463
Amatitlania_spp,-85.83333,14.75
Amatitlania_spp,-85.19438,14.79288
Amatitlania_spp,-85.78333,14.8
Amatitlania_spp,-86.98155,14.80848
Amatitlania_spp,-85.83333,14.81667
Amatitlania_spp,-85.86667,14.83333
Amatitlania_spp,-85.73333,14.88333
Amatitlania_spp,-85.66667,14.91667
Amatitlania_spp,-85.46667,15.08333
Amatitlania_spp,-85.46667,15.1
Amatitlania_spp,-87.2,15.11667
Amatitlania_spp,-87.1,15.13333
Amatitlania_spp,-87.11667,15.13333
Amatitlania_spp,-84.33333,15.41667
Amatitlania_spp,-86.42625,15.43657
Amatitlania_spp,-86.37263,15.44734
Amatitlania_spp,-86.55347,15.46569
Amatitlania_spp,-86.66544,15.48326
Amatitlania_spp,-84.36667,15.48333
Amatitlania_spp,-84.35,15.48333
Amatitlania_spp,-84.33333,15.48333
Amatitlania_spp,-86.22645,15.49786
Amatitlania_spp,-86.23713,15.51647
Amatitlania_spp,-90.194,17.289
